ID,CODE,SYSTEM,DISPLAY,DEFINITION
65,SIBINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,sibling in-law,The player of the role is (1) a sibling of the scoping persons spouse, or (2) the spouse of the scoping persons sibling, or (3) the spouse of a sibling of the scoping persons spouse
66,BROINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,brother-in-law,The player of the role is (1) a brother of the scoping persons spouse, or (2) the husband of the scoping persons sister, or (3) the husband of a sister of the scoping persons spouse
67,SISINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,sister-in-law,The player of the role is (1) a sister of the scoping persons spouse, or (2) the wife of the scoping persons brother, or (3) the wife of a brother of the scoping persons spouse
68,NIENEPH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,niece/nephew,The player of the role is a child of scoping persons brother or sister or of the brother or sister of the scoping persons spouse
69,NEPHEW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,nephew,The player of the role is a son of the scoping persons brother or sister or of the brother or sister of the scoping persons spouse
70,NIECE,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,niece,The player of the role is a daughter of the scoping persons brother or sister or of the brother or sister of the scoping persons spouse
71,UNCLE,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,uncle,The player of the role is a brother of the scoping persons mother or father
72,MUNCLE,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,maternal uncle,DescriptionThe player of the role is a biological brother of the scoping persons biological mother
73,PUNCLE,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,paternal uncle,DescriptionThe player of the role is a biological brother of the scoping persons biological father
74,PRN,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,parent,The player of the role is one who begets, gives birth to, or nurtures and raises the scoping entity (child)
75,ADOPTP,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,adoptive parent,The player of the role (parent) has taken the scoper (child) into their family through legal means and raises them as his or her own child
76,ADOPTF,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,adoptive father,The player of the role (father) is a male who has taken the scoper (child) into their family through legal means and raises them as his own child
77,ADOPTM,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,adoptive mother,The player of the role (father) is a female who has taken the scoper (child) into their family through legal means and raises them as her own child
78,FTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,father,The player of the role is a male who begets or raises or nurtures the scoping entity (child)
79,FTHFOST,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,foster father,The player of the role (parent) who is a male statecertified caregiver responsible for the scoper (child) who has been placed in the parents care The placement of the child is usually arranged through the government or a socialservice agency, and temporary The state, via a jurisdiction recognized child protection agency, stands as in loco parentis to the child, making all legal decisions while the foster parent is responsible for the daytoday care of the specified child
80,NFTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,natural father,The player of the role is a male who begets the scoping entity (child)
81,NFTHF,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,natural father of fetus,Indicates the biologic male parent of a fetus
82,STPFTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,stepfather,The player of the role is the husband of scoping persons mother and not the scoping persons natural father
83,MTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,mother,The player of the role is a female who conceives, gives birth to, or raises and nurtures the scoping entity (child)
91,GESTM,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,gestational mother,The player is a female whose womb carries the fetus of the scoper Generally used when the gestational mother and natural mother are not the same
101,MTHFOST,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,foster mother,The player of the role (parent) who is a female statecertified caregiver responsible for the scoper (child) who has been placed in the parents care The placement of the child is usually arranged through the government or a socialservice agency, and temporary The state, via a jurisdiction recognized child protection agency, stands as in loco parentis to the child, making all legal decisions while the foster parent is responsible for the daytoday care of the specified child
102,NMTH,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,natural mother,The player of the role is a female who conceives or gives birth to the scoping entity (child)
103,NMTHF,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,natural mother of fetus,The player is the biologic female parent of the scoping fetus
104,STPMTH,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,stepmother,The player of the role is the wife of scoping persons father and not the scoping persons natural mother
111,NPRN,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,natural parent,natural parent
112,PRNFOST,19216812312008980cd7f36bace9c05176e8e4557d9d6b1921682181282008f188bfb0a60c976b39a1e9dbbc94360drelatedpersonrelationshiptype,foster parent,The player of the role (parent) who is a statecertified caregiver responsible for the scoper (child) who has been placed in the parents care The placement of the child is usually arranged through the government or a socialservice agency, and temporary The state, via a jurisdiction recognized child protection agency, stands as in loco parentis to the child, making all legal decisions while the foster parent is responsible for the daytoday care of the specified child
113,STPPRN,,step parent,The player of the role is the spouse of the scoping persons parent and not the scoping persons natural parent
121,DCDC ,^&89,relatedperson-relationshiptype,foster parent,The player of the role is the spouse of the scoping persons parent and not the scoping persons natural parent
